,entry_time,signal_value,exit_time,view_name,signal_asset
174,2014-07-07 09:31:00-04:00,-1,2014-07-09 09:31:00-04:00,spy_view,Short
175,2014-07-09 09:31:00-04:00,0,2014-07-16 09:31:00-04:00,spy_view,
176,2014-07-16 09:31:00-04:00,1,2014-07-25 09:31:00-04:00,spy_view,Long
177,2014-07-25 09:31:00-04:00,-2,2014-07-30 09:31:00-04:00,spy_view,Short
178,2014-07-30 09:31:00-04:00,2,2014-08-07 09:31:00-04:00,spy_view,Long
179,2014-08-07 09:31:00-04:00,-1,2014-08-14 09:31:00-04:00,spy_view,Short
180,2014-08-14 09:31:00-04:00,1,2014-08-15 09:31:00-04:00,spy_view,Long
181,2014-08-15 09:31:00-04:00,-2,2014-08-18 09:31:00-04:00,spy_view,Short
182,2014-08-18 09:31:00-04:00,1,2014-08-21 09:31:00-04:00,spy_view,Long
183,2014-08-21 09:31:00-04:00,-1,2014-09-05 09:31:00-04:00,spy_view,Short
184,2014-09-05 09:31:00-04:00,0,2014-09-22 09:31:00-04:00,spy_view,
185,2014-09-22 09:31:00-04:00,-2,2014-09-24 09:31:00-04:00,spy_view,Short
186,2014-09-24 09:31:00-04:00,0,2014-09-26 09:31:00-04:00,spy_view,
187,2014-09-26 09:31:00-04:00,1,2014-10-06 09:31:00-04:00,spy_view,Long
188,2014-10-06 09:31:00-04:00,-2,2014-10-10 09:31:00-04:00,spy_view,Short
189,2014-10-10 09:31:00-04:00,2,2014-10-22 09:31:00-04:00,spy_view,Long
190,2014-10-22 09:31:00-04:00,-2,2014-11-04 09:31:00-05:00,spy_view,Short
191,2014-11-04 09:31:00-05:00,1,2014-11-10 09:31:00-05:00,spy_view,Long
192,2014-11-10 09:31:00-05:00,-1,2014-11-25 09:31:00-05:00,spy_view,Short
193,2014-11-25 09:31:00-05:00,0,2014-12-17 09:31:00-05:00,spy_view,
194,2014-12-17 09:31:00-05:00,1,2014-12-18 09:31:00-05:00,spy_view,Long
195,2014-12-18 09:31:00-05:00,-1,2014-12-31 09:31:00-05:00,spy_view,Short
196,2014-12-31 09:31:00-05:00,0,2015-01-12 09:31:00-05:00,spy_view,
197,2015-01-12 09:31:00-05:00,-1,2015-01-13 09:31:00-05:00,spy_view,Short
198,2015-01-13 09:31:00-05:00,1,2015-01-23 09:31:00-05:00,spy_view,Long
199,2015-01-23 09:31:00-05:00,0,2015-01-27 09:31:00-05:00,spy_view,
200,2015-01-27 09:31:00-05:00,-1,2015-01-29 09:31:00-05:00,spy_view,Short
201,2015-01-29 09:31:00-05:00,0,2015-02-02 09:31:00-05:00,spy_view,
202,2015-02-02 09:31:00-05:00,1,2015-02-03 09:31:00-05:00,spy_view,Long
203,2015-02-03 09:31:00-05:00,-1,2015-02-20 09:31:00-05:00,spy_view,Short
204,2015-02-20 09:31:00-05:00,0,2015-02-23 09:31:00-05:00,spy_view,
205,2015-02-23 09:31:00-05:00,-1,2015-02-25 09:31:00-05:00,spy_view,Short
206,2015-02-25 09:31:00-05:00,0,2015-03-13 09:31:00-04:00,spy_view,
207,2015-03-13 09:31:00-04:00,1,2015-03-24 09:31:00-04:00,spy_view,Long
208,2015-03-24 09:31:00-04:00,-1,2015-03-26 09:31:00-04:00,spy_view,Short
