,Unnamed: 0,date,cusip,dcm_security_id
3678985,3678985,2023-05-26,45168D104,3810
3678986,3678986,2023-05-26,45167R104,3816
3678987,3678987,2023-05-26,459506101,3822
3678988,3678988,2023-05-26,452327109,21774
3678989,3678989,2023-05-26,45337C102,10187
3678990,3678990,2023-05-26,45674M101,58663
3678991,3678991,2023-05-26,457187102,18142
3678992,3678992,2023-05-26,458140100,3951
3678993,3678993,2023-05-26,461202103,8655
3678994,3678994,2023-05-26,46187W107,50642
3678995,3678995,2023-05-26,462222100,4031
3678996,3678996,2023-05-26,460146103,3971
3678997,3678997,2023-05-26,460690100,3990
3678998,3678998,2023-05-26,44980X109,33033
3678999,3678999,2023-05-26,46266C105,44692
3679000,3679000,2023-05-26,45687V106,50869
3679001,3679001,2023-05-26,46284V101,14388
3679002,3679002,2023-05-26,46120E602,25339
3679003,3679003,2023-05-26,366651107,9930
3679004,3679004,2023-05-26,45073V108,14081
3679005,3679005,2023-05-26,452308109,4080
3679006,3679006,2023-05-26,G491BT108,16589
3679007,3679007,2023-05-26,46982L108,4120
3679008,3679008,2023-05-26,47074L105,54419
3679009,3679009,2023-05-26,G50871105,33959
3679010,3679010,2023-05-26,46590V100,51016
3679011,3679011,2023-05-26,445658107,4108
3679012,3679012,2023-05-26,466313103,8831
3679013,3679013,2023-05-26,477143101,23599
3679014,3679014,2023-05-26,G51502105,7679
3679015,3679015,2023-05-26,47233W109,4580
3679016,3679016,2023-05-26,G4474Y214,50910
3679017,3679017,2023-05-26,426281101,4141
3679018,3679018,2023-05-26,48020Q107,19898
3679019,3679019,2023-05-26,478160104,4151
3679020,3679020,2023-05-26,48203R104,20239
3679021,3679021,2023-05-26,46625H100,25006
3679022,3679022,2023-05-26,655664100,5382
3679023,3679023,2023-05-26,487836108,4192
3679024,3679024,2023-05-26,48242W106,32880
3679025,3679025,2023-05-26,50155Q100,58628
3679026,3679026,2023-05-26,49271V100,36118
3679027,3679027,2023-05-26,497266106,4220
3679028,3679028,2023-05-26,493267108,4221
3679029,3679029,2023-05-26,49338L103,47921
3679030,3679030,2023-05-26,500754106,49229
3679031,3679031,2023-05-26,49446R109,4238
3679032,3679032,2023-05-26,48251W104,39905
3679033,3679033,2023-05-26,482480100,4246
3679034,3679034,2023-05-26,494368103,4263
3679035,3679035,2023-05-26,49456B101,40852
3679036,3679036,2023-05-26,488401100,7795
3679037,3679037,2023-05-26,143130102,16511
3679038,3679038,2023-05-26,499049104,40606
3679039,3679039,2023-05-26,191216100,4283
3679040,3679040,2023-05-26,501044101,4297
3679041,3679041,2023-05-26,49427F108,16374
3679042,3679042,2023-05-26,500255104,4313
3679043,3679043,2023-05-26,540424108,4569
3679044,3679044,2023-05-26,536797103,16238
3679045,3679045,2023-05-26,512816109,15516
3679046,3679046,2023-05-26,G54050102,27223
3679047,3679047,2023-05-26,530307107,48009
3679048,3679048,2023-05-26,530307305,48010
3679049,3679049,2023-05-26,549498103,54735
3679050,3679050,2023-05-26,525327102,32714
3679051,3679051,2023-05-26,521865204,38921
3679052,3679052,2023-05-26,533900106,24824
3679053,3679053,2023-05-26,524660107,4415
3679054,3679054,2023-05-26,526057104,4417
3679055,3679055,2023-05-26,526057302,24731
3679056,3679056,2023-05-26,527064109,55100
3679057,3679057,2023-05-26,537008104,4433
3679058,3679058,2023-05-26,50540R409,12909
3679059,3679059,2023-05-26,502431109,3676
3679060,3679060,2023-05-26,526107107,24767
3679061,3679061,2023-05-26,55024U109,49288
3679062,3679062,2023-05-26,501889208,25598
3679063,3679063,2023-05-26,532457108,4487
3679064,3679064,2023-05-26,539830109,12691
3679065,3679065,2023-05-26,534187109,4498
3679066,3679066,2023-05-26,16411R208,22096
3679067,3679067,2023-05-26,018802108,18584
3679068,3679068,2023-05-26,38526M106,37686
3679069,3679069,2023-05-26,548661107,4521
3679070,3679070,2023-05-26,50212V100,40445
3679071,3679071,2023-05-26,546347105,4531
3679072,3679072,2023-05-26,512807108,4537
3679073,3679073,2023-05-26,518415104,4549
3679074,3679074,2023-05-26,53223X107,24823
3679075,3679075,2023-05-26,515098101,8667
3679076,3679076,2023-05-26,531229409,49881
3679077,3679077,2023-05-26,531229607,49883
3679078,3679078,2023-05-26,550021109,34395
3679079,3679079,2023-05-26,550241103,1960
3679080,3679080,2023-05-26,844741108,4589
3679081,3679081,2023-05-26,517834107,26882
3679082,3679082,2023-05-26,513272104,50430
3679083,3679083,2023-05-26,N53745100,39546
3679084,3679084,2023-05-26,55087P104,53023
3679085,3679085,2023-05-26,538034109,27943
3679086,3679086,2023-05-26,55616P104,2754
3679087,3679087,2023-05-26,57636Q104,32146
3679088,3679088,2023-05-26,59522J103,10639
3679089,3679089,2023-05-26,56418H100,4654
3679090,3679090,2023-05-26,562750109,18588
3679091,3679091,2023-05-26,571903202,25920
3679092,3679092,2023-05-26,574599106,4665
3679093,3679093,2023-05-26,574795100,34501
3679094,3679094,2023-05-26,577081102,4668
3679095,3679095,2023-05-26,57638P104,60856
3679096,3679096,2023-05-26,580135101,4707
3679097,3679097,2023-05-26,595017104,8677
3679098,3679098,2023-05-26,58155Q103,12350
